word,pronunciation,translation,part_of_speech,country,level,audio_url
architecture,/ˈɑː.kɪ.ˌtɛk.tʃə/,архитектура,noun,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/architecture-us.mp3
area,/ˈɛə̯ɹɪə̯/,область,noun,both,A1,https://api.dictionaryapi.dev/media/pronunciations/en/area-us.mp3
argue,/ˈɑː.ɡjuː/,спорить,verb,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/argue-us.mp3
argument,/ˈɑːɡjʊmənt/,аргумент,noun,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/argument-us.mp3
arise,/əˈɹaɪz/,возникать,verb,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/arise-us.mp3
arm,/ɑːm/,рука,noun,both,A1,https://api.dictionaryapi.dev/media/pronunciations/en/arm-us.mp3
armed,/ɑːmd/,вооруженный,adjective,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/armed-us.mp3
arms,/ɑːmz/,оружие,noun,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/arms-us.mp3
army,/ˈɑː.miː/,армия,noun,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/army-uk.mp3
around,/əˈɹaʊnd/,вокруг,preposition,both,A1,https://api.dictionaryapi.dev/media/pronunciations/en/around-us.mp3
around,/əˈɹaʊnd/,вокруг,adverb,both,A1,https://api.dictionaryapi.dev/media/pronunciations/en/around-us.mp3
arrange,/əˈɹeɪndʒ/,договариваться,verb,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/arrange-us.mp3
arrangement,/əˈɹeɪnd͡ʒmənt/,договоренность,noun,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/arrangement-us.mp3
arrest,/əˈɹɛst/,арестовать,verb,both,B1,https://api.dictionaryapi.dev/media/pronunciations/en/arrest-us.mp3
arrest,/əˈɹɛst/,арестовать,noun,both,B1,https://api.dictionaryapi.dev/media/pronunciations/en/arrest-us.mp3
arrival,/əˈɹaɪ.vəl/,прибытие,noun,both,B1,https://api.dictionaryapi.dev/media/pronunciations/en/arrival-uk.mp3
arrive,/əˈɹaɪv/,приезжать,verb,both,A1,https://api.dictionaryapi.dev/media/pronunciations/en/arrive-us.mp3
art,/ɑːt/,искусство,noun,both,A1,https://api.dictionaryapi.dev/media/pronunciations/en/art-us.mp3
article,/ˈɑːtɪkəl/,статья,noun,both,A1,https://api.dictionaryapi.dev/media/pronunciations/en/article-us.mp3
artificial,/ɑː(ɹ)təˈfɪʃəl/,искусственный,adjective,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/artificial-us.mp3
artist,/ˈɑːtɪst/,художник,noun,both,A1,https://api.dictionaryapi.dev/media/pronunciations/en/artist-us.mp3
artistic,/ɑːˈtɪstɪk/,художественный,adjective,both,B2,
as,,как,preposition,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/as-1-us.mp3
as,,как,adverb,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/as-1-us.mp3
as,,как,conjunction,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/as-1-us.mp3
ashamed,/əˈʃeɪmd/,стыдящийся,adjective,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/ashamed-us.mp3
aside,/əˈsaɪd/,в сторону,adverb,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/aside-us.mp3
ask,/ˈask/,просить,verb,both,A1,https://api.dictionaryapi.dev/media/pronunciations/en/ask-uk.mp3
asleep,/əˈsliːp/,спящий,adjective,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/asleep-us.mp3
aspect,/ˈæspɛkt/,аспект,noun,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/aspect-us.mp3
assess,/əˈsɛs/,оценивать,verb,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/assess-us.mp3
assessment,,оценка,noun,both,B2,
assignment,,назначение,noun,both,B1,https://api.dictionaryapi.dev/media/pronunciations/en/assignment-us.mp3
assist,/əˈsɪst/,помогать,verb,both,B1,https://api.dictionaryapi.dev/media/pronunciations/en/assist-us.mp3
assistant,/əˈsɪstənt/,помощник,noun,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/assistant-us.mp3
assistant,/əˈsɪstənt/,помощник,adjective,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/assistant-us.mp3
associate,/əˈsəʊsi.ət/,партнер,verb,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/associate-us.mp3
associated,/əˈsəʊsieɪtɪd/,связанный,adjective,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/associated-us.mp3
association,/əˌsəʊsiˈeɪʃən/,ассоциация,noun,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/association-us.mp3
assume,/əˈsuːm/,предполагать,verb,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/assume-uk.mp3
at,,в,preposition,both,A1,https://api.dictionaryapi.dev/media/pronunciations/en/at-us.mp3
athlete,/ˈæθ.lit/,спортсмен,noun,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/athlete-us.mp3
atmosphere,/ˈæt.məsˌfɪə(ɹ)/,атмосфера,noun,both,B1,https://api.dictionaryapi.dev/media/pronunciations/en/atmosphere-us.mp3
attach,/əˈtætʃ/,прикреплять,verb,both,B1,https://api.dictionaryapi.dev/media/pronunciations/en/attach-uk.mp3
attack,/əˈtæk/,атаковать,noun,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/attack-au.mp3
attack,/əˈtæk/,атаковать,verb,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/attack-au.mp3
attempt,/əˈtɛmpt/,пытаться,noun,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/attempt-us.mp3
attempt,/əˈtɛmpt/,пытаться,verb,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/attempt-us.mp3
attend,/əˈtɛnd/,посещать,verb,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/attend-us.mp3
attention,/əˈtɛn.ʃən/,внимание,noun,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/attention-us.mp3
attitude,/ˈætɪˌtjuːd/,отношение,noun,both,B1,https://api.dictionaryapi.dev/media/pronunciations/en/attitude-us.mp3
attorney,/əˈtɜː(ɹ)ni/,адвокат,noun,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/attorney-us.mp3
attract,/əˈtɹækt/,привлекать,verb,both,B1,https://api.dictionaryapi.dev/media/pronunciations/en/attract-uk.mp3
